CPU,Time
256,2274.08
128,1751.94
64,1686.31
32,1670.38
16,1674.21
8,1922.08
4,2626.95
2,4389.01
1,8399.19
256,2254.72
128,1786.06
64,1675.93
32,1692.56
16,1669.96
8,1926.52
4,2632.08
2,4382.7
1,8402.18
256,2314.81
128,1745.37
64,1649.48
32,1681.89
16,1690
8,1926.4
4,2610.34
2,4483.66
1,8390.07
256,2279.62
128,1772.42
64,1666
32,1662.12
16,1687.54
8,1933.81
4,2624.22
2,4461.62
1,8427.85
256,2278.43
128,1802.84
64,1674.78
32,1664.82
16,1692.31
8,1932.95
4,2636.18
2,4388.62
1,8380.76
