CPU,Time
256,10881.1
128,9743.13
64,9531.8
32,8856.3
16,8768.4
8,8124.57
4,8229.02
2,9420.12
1,12553.2
256,10765
128,10250.6
64,10089.4
32,9310.99
16,9043.72
8,8053.78
4,8563.97
2,9347.31
1,12444.8
256,10482.4
128,9367
64,10002.3
32,9314.42
16,8774.26
8,8550.91
4,8196.44
2,9769.83
1,12663.9
256,9714.11
128,9949.38
64,9553.78
32,9057.26
16,9071.24
8,8826.89
4,8707.9
2,9340.74
1,12621.5
256,10744.4
128,9744.52
64,9759.9
32,9108.14
16,9091.87
8,8318.09
4,8302.99
2,9399.84
1,12613.6
